Key	Type	Desc	English	German	French (France)	Portuguese (Brazil)	Italian (Italy)	Japanese	Korean	Russian	Spanish	Ukrainian	Chinese (Simplified)	Chinese (Traditional)	Thai
AchievementsLockedDescription/GainOver200MovementSpeed	Text		Gain over 200% movement speed	200 % Bewegungsgeschwindigkeit erhalten	Gagne plus de 200 % de vitesse de mouvement	Obtenha mais de 200% de velocidade de movimento	Ottieni oltre il 200% di velocità di movimento	移動スピードを200%以上上昇させる	이동 속도 200% 이상을 획득하세요	Развей скорость движения свыше 200% от обычной	Consigue una velocidad de movimiento de más del 200 %	Набери понад 200% швидкості руху	获得超过 200% 的移动速度	獲得超過 200% 的移動速度	รับความเร็วเคลื่อนที่มากกว่า 200%
AchievementsLockedDescription/HarvestGoldenIngredient	Text		Harvest a golden plant	Goldene Pflanze ernten	Récolte une plante en or	Colha uma planta dourada	Raccogli una pianta dorata	金色の植物を収穫する	금색 식물을 수확하세요	Собери золотой урожай	Cosecha una planta dorada	Збери золоту рослину	收割一株金色植物	收成一株金色植物	เก็บเกี่ยวพืชสีทอง
AchievementsLockedDescription/KeyArtCharacter	Text		Dress like a character from the official illustrations	Verkleide dich wie eine Figur aus den offiziellen Illustrationen	Habille-toi comme un personnage des illustrations officielles	Vista-se igual a um personagem das ilustrações oficiais	Vestiti come uno dei personaggi delle illustrazioni ufficiali	公式イラストに登場するキャラクターになりきろう	공식 일러스트의 캐릭터처럼 옷을 입으세요	Нарядись, как персонаж из оригинальных иллюстраций	Viste como un personaje de ilustraciones oficiales	Одягнися, як персонаж з офіційних ілюстрацій	打扮得像官方插图里的角色	打扮得像官方插圖的角色	แต่งตัวแบบตัวละครจากภาพประกอบอย่างเป็นทางการ
AchievementsLockedDescription/MaxedOutCooking	Text		Gain 100 skill points in cooking	Erhalte 100 Fertigkeitspunkte für Kochen	Gagne 100 points d’habileté en cuisine	Obtenha 100 pontos de perícia em culinária	Ottieni 100 punti abilità nella cucina	調理で100スキルポイント獲得する	요리에서 스킬 포인트 100을 얻으세요	Получи 100 очков навыка «Готовка»	Consigue 100 puntos de habilidad en cocina	Отримай 100 очок навичок у готуванні	获得 100 点烹饪技能点数	獲得 100 點烹飪技能積分	รับแต้มสกิลการปรุงอาหาร 100 แต้ม
AchievementsLockedDescription/MaxedOutCrafting	Text		Gain 100 skill points in crafting	Erhalte 100 Fertigkeitspunkte für Fertigung	Gagne 100 points d’habileté en artisanat	Obtenha 100 pontos de perícia em fabricação	Ottieni 100 punti abilità nella creazione	製作で100スキルポイント獲得する	제작에서 스킬 포인트 100을 얻으세요	Получи 100 очков навыка «Создание предметов»	Consigue 100 puntos de habilidad en fabricación	Отримай 100 очок навичок у виготовленні	获得 100 点制作技能点数	獲得 100 點製作技能積分	รับแต้มสกิลการประดิษฐ์ 100 แต้ม
AchievementsLockedDescription/MaxedOutExplosives	Text		Gain 100 skill points in explosives	Erhalte 100 Fertigkeitspunkte für Sprengstoff	Gagne 100 points d’habileté en explosifs	Obtenha 100 pontos de perícia em explosivos	Ottieni 100 punti abilità negli esplosivi	爆発物で100スキルポイント獲得する	폭발물에서 스킬 포인트 100을 얻으세요	Получи 100 очков навыка «Взрывчатка»	Consigue 100 puntos de habilidad en explosivos	Отримай 100 очок навички підривання	获得 100 点炸药技能点数	獲得 100 點爆裂物技能積分	มีแต้มสกิลระเบิด 100 แต้ม
AchievementsLockedDescription/MaxedOutFishing	Text		Gain 100 skill points in fishing	Erhalte 100 Fertigkeitspunkte für Angeln	Gagne 100 points d’habileté à la pêche	Obtenha 100 pontos de perícia em pesca	Ottieni 100 punti abilità nella pesca	釣りで100スキルポイント獲得する	낚시에서 스킬 포인트 100을 얻으세요	Получи 100 очков навыка «Рыболовство»	Consigue 100 puntos de habilidad en pesca	Отримай 100 очок навичок у риболовлі	获得 100 点钓鱼技能点数	獲得 100 點捕魚技能積分	รับแต้มสกิลการตกปลา 100 แต้ม
AchievementsLockedDescription/MaxedOutGardening	Text		Gain 100 skill points in gardening	Erhalte 100 Fertigkeitspunkte für Gärtnern	Gagne 100 points d’habileté en jardinage	Obtenha 100 pontos de perícia em jardinagem	Ottieni 100 punti abilità nel giardinaggio	ガーデニングで100スキルポイント獲得する	원예에서 스킬 포인트 100을 얻으세요	Получи 100 очков навыка «Садоводство»	Consigue 100 puntos de habilidad en jardinería	Отримай 100 очок навичок у садівництві	获得 100 点园艺技能点数	獲得 100 點園藝技能積分	รับแต้มสกิลการทำสวน 100 แต้ม
AchievementsLockedDescription/MaxedOutMagic	Text		Gain 100 skill points in magic	Erhalte 100 Fertigkeitspunkte der Magie	Gagne 100 points d’habileté en magie	Obtenha 100 pontos de perícia em magia	Ottieni 100 punti abilità nella magia	魔法で100スキルポイント獲得する	마법에서 스킬 포인트 100을 얻으세요	Получи 100 очков навыка «Магия»	Consigue 100 puntos de habilidad en magia	Отримай 100 очок навичок у магії	获得 100 点魔法技能点数	獲得 100 點魔法技能積分	มีแต้มสกิลเวท 100 แต้ม
AchievementsLockedDescription/MaxedOutMelee	Text		Gain 100 skill points in melee	Erhalte 100 Fertigkeitspunkte für Nahkampf	Gagne 100 points d’habileté au corps-à-corps	Obtenha 100 pontos de perícia em corpo a corpo	Ottieni 100 punti abilità nel corpo a corpo	近接で100スキルポイント獲得する	근접에서 스킬 포인트 100을 얻으세요	Получи 100 очков навыка «Ближний бой»	Consigue 100 puntos de habilidad en combate cuerpo a cuerpo	Отримай 100 очок навичок у ближньому бою	获得 100 点近战技能点数	獲得 100 點近戰技能積分	รับแต้มสกิลระยะประชิด 100 แต้ม
AchievementsLockedDescription/MaxedOutMining	Text		Gain 100 skill points in mining	Erhalte 100 Fertigkeitspunkte für Bergbau	Gagne 100 points d’habileté à la mine	Obtenha 100 pontos de perícia em mineração	Ottieni 100 punti abilità nell'estrazione	採掘で100スキルポイント獲得する	채굴에서 스킬 포인트 100을 얻으세요	Получи 100 очков навыка «Добыча ресурсов»	Consigue 100 puntos de habilidad en minería	Отримай 100 очок навичок у видобуванні	获得 100 点挖掘技能点数	獲得 100 點挖掘技能積分	มีแต้มสกิลการทำเหมือง 100 แต้ม
AchievementsLockedDescription/MaxedOutRange	Text		Gain 100 skill points in range	Erhalte 100 Fertigkeitspunkte für Fernkampf	Gagne 100 points d’habileté de tir	Obtenha 100 pontos de perícia em longo alcance	Ottieni 100 punti abilità nella distanza	遠距離で100スキルポイント獲得する	원거리에서 스킬 포인트 100을 얻으세요	Получи 100 очков навыка «Дальний бой»	Consigue 100 puntos de habilidad en combate a distancia	Отримай 100 очок навичок у дальньому бою	获得 100 点远程技能点数	獲得 100 點遠程技能積分	รับแต้มสกิลระยะไกล 100 แต้ม
AchievementsLockedDescription/MaxedOutRunning	Text		Gain 100 skill points in running	Erhalte 100 Fertigkeitspunkte für Laufen	Gagne 100 points d’habileté à la course	Obtenha 100 pontos de perícia em corrida	Ottieni 100 punti abilità nella corsa	ダッシュで100スキルポイント獲得する	달리기에서 스킬 포인트 100을 얻으세요	Получи 100 очков навыка «Бег»	Consigue 100 puntos de habilidad en carrera	Отримай 100 очок навичок у бігу	获得 100 点奔跑技能点数	獲得 100 點奔跑技能積分	รับแต้มสกิลวิ่ง 100 แต้ม
AchievementsLockedDescription/MaxedOutSummoning	Text	This is from a Final Fantasy X meme, please translate accordingly into the other languages of the game if you can.	Gain 100 skill points in summoning	Erhalte 100 Fertigkeitspunkte der Beschwörung	Gagne 100 points d’habileté en invocation	Obtenha 100 pontos de perícia em invocação	Ottieni 100 punti abilità nell'evocazione	召喚で100スキルポイント獲得する	소환에서 스킬 포인트 100을 얻으세요	Получи 100 очков навыка «Призыв»	Consigue 100 puntos de habilidad en invocación	Отримай 100 очок навичок у виклику	获得 100 点召唤技能点数	獲得 100 點召喚技能積分	มีแต้มสกิลอัญเชิญ 100 แต้ม
AchievementsLockedDescription/MaxedOutVitality	Text		Gain 100 skill points in vitality	Erhalte 100 Fertigkeitspunkte für Vitalität	Gagne 100 points d’habileté en vitalité	Obtenha 100 pontos de perícia em vitalidade	Ottieni 100 punti abilità nella vitalità	活力で100スキルポイント獲得する	활력에서 스킬 포인트 100을 얻으세요	Получи 100 очков навыка «Живучесть»	Consigue 100 puntos de habilidad en vitalidad	Отримай 100 очок навичок у живучості	获得 100 点活力技能点数	獲得 100 點活力技能積分	รับแต้มสกิลกำลังกาย 100 แต้ม
AchievementsLockedDescription/ObtainPhantomSpark	Text		Obtain Phantom Spark	Phantomfunken erhalten	Obtiens l'étincelle de fantôme	Obtenha Centelha Espectral	Ottieni Scintilla spettrale	ファントムスパークを入手する	유령의 불꽃을 획득하세요	Получи «Призрачную искру»	Consigue Chispa fantasma	Отримай Примарну іскру	得到幻影星火	取得魅影星火	ได้รับแฟนธอมสปาร์ก
AchievementsLockedDescription/ObtainRuneSong	Text		Obtain Rune Song	Runenlied erhalten	Obtiens le chant runique	Obtenha Canção Rúnica	Ottieni Canto runico	ルーンソングを入手する	룬의 노래를 획득하세요	Получи «Песнь рун»	Consigue Canto rúnico	Отримай Рунну пісню	得到符文之歌	取得符文之歌	ได้รับบทเพลงแห่งรูน
AchievementsLockedDescription/ObtainSoulSeeker	Text		Obtain Soul Seeker	Seelensucher erhalten	Obtiens le chercheur d'âmes	Obtenha Caçadora de Almas	Ottieni Cercanime	ソウルシーカーを入手する	영혼 추격자를 획득하세요	Получи «Добытчицу душ»	Consigue Buscador de almas	Отримай Шукача душ	得到追魂镐	取得靈魂尋覓者	ได้รับอีเต้อล่าวิญญาณ
AchievementsLockedDescription/ObtainStormbringer	Text		Obtain Stormbringer	Erhalte Sturmbringer	Obtiens Lance-tempête	Obtenha Portador do Raio	Ottieni Messaggero fulmineo	ストームブリンガーを入手する	스톰브링어를 획득하세요	Получи «Буревестник»	Consigue Portatormentas	Отримай Буревісник	得到闪电冲击枪	取得興風者	ได้รับสตอร์มบริงเกอร์
AchievementsLockedDescription/ObtainTheOracleDeck	Text		Obtain the Oracle Card deck	Orakel-Deck erhalten	Obtiens le jeu de cartes d’oracle	Obtenha o baralho Carta do Oráculo	Ottieni il mazzo di Carte dell'Oracolo	オラクルカードデッキを入手する	신탁 카드 덱을 획득하세요	Получи колоду карт «Оракул»	Consigue el mazo de cartas de oráculo	Отримай Колоду Оракула	得到神谕卡组	取得神諭卡片牌組	ได้รับสำรับการ์ดออราเคิล
AchievementsLockedDescription/PetColors	Text		Store all color variations of one pet type in a chest	Lagere alle Farbvariationen einer Haustier-Art in einer Kiste	Range toutes les variations de couleur d’un animal dans un coffre	Armazene em um baú todas as variações de cor de um tipo de pet	Deposita in un forziere tutte le varianti di colore di un tipo di animale	ペット一種の全カラーを宝箱に保管する	한 애완동물 모든 색상 유형을 같은 상자 안에 보관하세요	Собери одинаковых питомцев всех окрасов в одном сундуке	Almacena en un cofre todas las variantes de color de un tipo de mascota	Заховай у скриню всі кольори тваринки одного типу	将同一种宠物所有颜色的变体存放在同一只箱子里	將同一種寵物的所有顏色存放於寶箱內	เก็บสัตว์เลี้ยงหนึ่งประเภทครบทุกสีในหีบ
